NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.243989, 0.346482, 0.483512, 0.437049, 0.334255, 0.404569
0.391239, 0.505205, 0.549801, 0.694658, 0.615387, 0.534397
0.240039, 0.328734, 0.523335, 0.52554, 0.36527, 0.340137
0.358452, 0.434819, 0.524131, 0.677431, 0.593383, 0.477271
0.241188, 0.3626, 0.558422, 0.523131, 0.372065, 0.335345
0.456175, 0.475566, 0.523964, 0.770839, 0.696958, 0.604985
0.18287, 0.238343, 0.455436, 0.552991, 0.44066, 0.352182
0.382777, 0.331046, 0.488085, 0.670948, 0.574909, 0.476967
0.24948, 0.306414, 0.424379, 0.381284, 0.314565, 0.360401
0.298789, 0.354589, 0.483877, 0.534873, 0.394528, 0.362509
0.300204, 0.313274, 0.459045, 0.622581, 0.545657, 0.435697
0.322735, 0.45101, 0.620893, 0.626832, 0.471496, 0.398555
0.365667, 0.465674, 0.508033, 0.694769, 0.553673, 0.479362
0.311838, 0.511505, 0.630067, 0.636185, 0.473149, 0.404354
0.288469, 0.401996, 0.452793, 0.437278, 0.352971, 0.334574
0.295452, 0.380205, 0.473339, 0.568939, 0.465531, 0.433514
0.200132, 0.247278, 0.461117, 0.535135, 0.415554, 0.382535
0.386956, 0.479896, 0.469873, 0.726507, 0.632655, 0.531405
0.254258, 0.394003, 0.541513, 0.587132, 0.398203, 0.345172
0.323898, 0.457823, 0.516943, 0.522059, 0.427033, 0.363795
0.308821, 0.458855, 0.504085, 0.572233, 0.449134, 0.416577
0.316243, 0.42138, 0.533696, 0.620658, 0.524248, 0.457382
0.245, 0.33659, 0.426653, 0.477141, 0.378663, 0.398716
0.300087, 0.361733, 0.567479, 0.630832, 0.526236, 0.444637
0.225332, 0.214592, 0.44039, 0.589954, 0.459677, 0.377743
0.333428, 0.418709, 0.574897, 0.66743, 0.549584, 0.449806
0.34836, 0.446593, 0.544607, 0.718565, 0.627556, 0.527631
0.238333, 0.436861, 0.521608, 0.446583, 0.327701, 0.377984
0.261053, 0.478788, 0.501305, 0.425369, 0.341791, 0.353106
0.327423, 0.393604, 0.563268, 0.639347, 0.531189, 0.470815
0.277684, 0.466215, 0.532967, 0.505593, 0.376303, 0.373337
0.348594, 0.507351, 0.605959, 0.636376, 0.504844, 0.430652
0.30889, 0.396165, 0.509321, 0.630011, 0.504987, 0.427607
0.246639, 0.323003, 0.49308, 0.546431, 0.36948, 0.348884
0.232045, 0.300081, 0.454908, 0.520196, 0.367755, 0.392313
0.27281, 0.382581, 0.620985, 0.612286, 0.518027, 0.411488
0.285243, 0.373684, 0.563024, 0.639048, 0.463726, 0.390348
0.341219, 0.443391, 0.603114, 0.635097, 0.516368, 0.416314
0.277924, 0.369996, 0.513189, 0.579029, 0.432798, 0.405003
0.356991, 0.431436, 0.539452, 0.678361, 0.534381, 0.458177
0.360162, 0.442974, 0.532801, 0.672034, 0.594286, 0.490481
0.258379, 0.355167, 0.512531, 0.486974, 0.356403, 0.362171
0.321533, 0.514666, 0.556541, 0.593833, 0.464637, 0.406213
0.295759, 0.491538, 0.616998, 0.6122, 0.450535, 0.378396
0.335471, 0.447708, 0.608367, 0.640403, 0.565898, 0.49042
0.303412, 0.471034, 0.607419, 0.589924, 0.426549, 0.357971
0.243989, 0.346482, 0.483512, 0.437049, 0.334255, 0.404569
0.391239, 0.505205, 0.549801, 0.694658, 0.615387, 0.534397
0.240039, 0.328734, 0.523335, 0.52554, 0.36527, 0.340137
0.374887, 0.394054, 0.589055, 0.609424, 0.621781, 0.549715
0.256101, 0.434555, 0.542755, 0.459036, 0.37794, 0.365077
0.363668, 0.312058, 0.509012, 0.730365, 0.712106, 0.643579
0.15631, 0.161643, 0.488608, 0.566328, 0.55138, 0.44091
0.192357, 0.132357, 0.427582, 0.688457, 0.622219, 0.538196
0.255203, 0.393281, 0.481737, 0.439936, 0.396534, 0.394904
0.245383, 0.376402, 0.430013, 0.514454, 0.439829, 0.398831
0.213775, 0.137217, 0.504084, 0.673653, 0.637711, 0.5347
0.317822, 0.480379, 0.612279, 0.551735, 0.467189, 0.427201
0.26711, 0.183767, 0.444362, 0.644603, 0.623692, 0.550161
