Domain,Area,Element,Item,Year,Unit,Value
Crops,Satna,Yield,Soybean,2011,hg/ha,"5209,03"
Crops,Sehore,Yield,Soybean,2011,hg/ha,"12351,96"
Crops,Seoni,Yield,Soybean,2011,hg/ha,"9993,86"
Crops,Shahdol,Yield,Soybean,2011,hg/ha,"4488,79"
Crops,Shajapur,Yield,Soybean,2011,hg/ha,"11140,01"
Crops,Sheopur,Yield,Soybean,2011,hg/ha,"10328,77"
Crops,Shivpuri,Yield,Soybean,2011,hg/ha,"10189,81"
Crops,Sidhi,Yield,Soybean,2011,hg/ha,"4455,45"
Crops,Tikamgarh,Yield,Soybean,2011,hg/ha,"7993,53"
Crops,Ujjain,Yield,Soybean,2011,hg/ha,13860
Crops,Umaria,Yield,Soybean,2011,hg/ha,"3497,86"
Crops,Vidisha,Yield,Soybean,2011,hg/ha,"11992,77"
Crops,Anuppur,Yield,Soybean,2012,hg/ha,"9338,63"
Crops,Ashoknagar,Yield,Soybean,2012,hg/ha,"20850,42"
Crops,Balaghat,Yield,Soybean,2012,hg/ha,"13636,36"
Crops,Barwani,Yield,Soybean,2012,hg/ha,"20507,05"
Crops,Betul,Yield,Soybean,2012,hg/ha,"18503,33"
Crops,Bhind,Yield,Soybean,2012,hg/ha,"6666,67"
Crops,Bhopal,Yield,Soybean,2012,hg/ha,"14526,9"
Crops,Burhanpur,Yield,Soybean,2012,hg/ha,"9685,08"
Crops,Chhatarpur,Yield,Soybean,2012,hg/ha,"8442,75"
Crops,Chhindwara,Yield,Soybean,2012,hg/ha,"24885,15"
Crops,Damoh,Yield,Soybean,2012,hg/ha,"12648,43"
Crops,Datia,Yield,Soybean,2012,hg/ha,"9112,5"
Crops,Dewas,Yield,Soybean,2012,hg/ha,15980
Crops,Dhar,Yield,Soybean,2012,hg/ha,"15930,01"
Crops,Dindori,Yield,Soybean,2012,hg/ha,"6004,75"
Crops,Guna,Yield,Soybean,2012,hg/ha,"12760,86"
Crops,Gwalior,Yield,Soybean,2012,hg/ha,"17945,57"
