Domain,Area,Element,Item,Year,Unit,Value
Crops,Shajapur,Yield,Soybean,2018,hg/ha,13410
Crops,Sheopur,Yield,Soybean,2018,hg/ha,"12380,06"
Crops,Shivpuri,Yield,Soybean,2018,hg/ha,"7429,96"
Crops,Sidhi,Yield,Soybean,2018,hg/ha,"5172,41"
Crops,Tikamgarh,Yield,Soybean,2018,hg/ha,"6520,14"
Crops,Ujjain,Yield,Soybean,2018,hg/ha,"12860,03"
Crops,Umaria,Yield,Soybean,2018,hg/ha,"6273,04"
Crops,Vidisha,Yield,Soybean,2018,hg/ha,9510
Crops,Anuppur,Yield,Soybean,2019,hg/ha,"7228,99"
Crops,Ashoknagar,Yield,Soybean,2019,hg/ha,"12820,01"
Crops,Balaghat,Yield,Soybean,2019,hg/ha,10000
Crops,Barwani,Yield,Soybean,2019,hg/ha,"9779,96"
Crops,Betul,Yield,Soybean,2019,hg/ha,"3930,12"
Crops,Bhind,Yield,Soybean,2019,hg/ha,"7297,3"
Crops,Bhopal,Yield,Soybean,2019,hg/ha,"6930,03"
Crops,Burhanpur,Yield,Soybean,2019,hg/ha,"9449,86"
Crops,Chhatarpur,Yield,Soybean,2019,hg/ha,"4409,99"
Crops,Chhindwara,Yield,Soybean,2019,hg/ha,"12119,7"
Crops,Damoh,Yield,Soybean,2019,hg/ha,"6669,97"
Crops,Datia,Yield,Soybean,2019,hg/ha,"7731,09"
Crops,Dewas,Yield,Soybean,2019,hg/ha,"6619,99"
Crops,Dhar,Yield,Soybean,2019,hg/ha,"9799,99"
Crops,Dindori,Yield,Soybean,2019,hg/ha,"6470,27"
Crops,Guna,Yield,Soybean,2019,hg/ha,"5249,99"
Crops,Gwalior,Yield,Soybean,2019,hg/ha,"10238,81"
Crops,Harda,Yield,Soybean,2019,hg/ha,"5460,03"
Crops,Hoshangabad,Yield,Soybean,2019,hg/ha,"6630,03"
Crops,Indore,Yield,Soybean,2019,hg/ha,"14970,01"
Crops,Jabalpur,Yield,Soybean,2019,hg/ha,9200
Crops,Jhabua,Yield,Soybean,2019,hg/ha,"7580,02"
Crops,Katni,Yield,Soybean,2019,hg/ha,10000
Crops,Mandla,Yield,Soybean,2019,hg/ha,"6039,6"
Crops,Mandsaur,Yield,Soybean,2019,hg/ha,3600
Crops,Morena,Yield,Soybean,2019,hg/ha,"10255,47"
Crops,Narsinghpur,Yield,Soybean,2019,hg/ha,"7049,89"
Crops,Neemuch,Yield,Soybean,2019,hg/ha,"2800,01"
Crops,Panna,Yield,Soybean,2019,hg/ha,"8329,12"
Crops,Raisen,Yield,Soybean,2019,hg/ha,"4489,95"
Crops,Rajgarh,Yield,Soybean,2019,hg/ha,3860
Crops,Ratlam,Yield,Soybean,2019,hg/ha,6440
Crops,Rewa,Yield,Soybean,2019,hg/ha,"6303,21"
Crops,Sagar,Yield,Soybean,2019,hg/ha,"5600,01"
Crops,Satna,Yield,Soybean,2019,hg/ha,"2019,81"
Crops,Sehore,Yield,Soybean,2019,hg/ha,4990
Crops,Seoni,Yield,Soybean,2019,hg/ha,"7621,48"
Crops,Shahdol,Yield,Soybean,2019,hg/ha,"9270,78"
Crops,Shajapur,Yield,Soybean,2019,hg/ha,3780
Crops,Sheopur,Yield,Soybean,2019,hg/ha,"8989,87"
Crops,Shivpuri,Yield,Soybean,2019,hg/ha,8120
Crops,Sidhi,Yield,Soybean,2019,hg/ha,"3636,36"
Crops,Tikamgarh,Yield,Soybean,2019,hg/ha,"4189,92"
Crops,Ujjain,Yield,Soybean,2019,hg/ha,"4660,01"
Crops,Umaria,Yield,Soybean,2019,hg/ha,"4932,89"
Crops,Vidisha,Yield,Soybean,2019,hg/ha,"5760,01"
