Temperature - (Celsius), Year, Element, Area
35.2361, 2017, LST_JUL, Dewas
32.4611, 2018, LST_JUL, Dewas
35.5448, 2019, LST_JUL, Dewas
32.6966, 2010, LST_JUL, Dhar
35.2821, 2011, LST_JUL, Dhar
36.6643, 2012, LST_JUL, Dhar
32.4031, 2013, LST_JUL, Dhar
38.2125, 2014, LST_JUL, Dhar
33.2783, 2015, LST_JUL, Dhar
29.6202, 2016, LST_JUL, Dhar
32.9544, 2017, LST_JUL, Dhar
33.9587, 2018, LST_JUL, Dhar
34.8254, 2019, LST_JUL, Dhar
31.8579, 2010, LST_JUL, Dindori
29.3544, 2011, LST_JUL, Dindori
36.9831, 2012, LST_JUL, Dindori
29.2423, 2013, LST_JUL, Dindori
34.4439, 2014, LST_JUL, Dindori
29.6519, 2015, LST_JUL, Dindori
30.9885, 2016, LST_JUL, Dindori
28.83, 2017, LST_JUL, Dindori
30.3323, 2018, LST_JUL, Dindori
31.4629, 2019, LST_JUL, Dindori
37.062, 2010, LST_JUL, Guna
31.7431, 2011, LST_JUL, Guna
41.1931, 2012, LST_JUL, Guna
30.086, 2013, LST_JUL, Guna
40.6678, 2014, LST_JUL, Guna
34.9123, 2015, LST_JUL, Guna
30.2917, 2016, LST_JUL, Guna
35.5193, 2017, LST_JUL, Guna
37.3549, 2018, LST_JUL, Guna
37.0017, 2019, LST_JUL, Guna
39.4504, 2010, LST_JUL, Gwalior
35.4725, 2011, LST_JUL, Gwalior
37.6185, 2012, LST_JUL, Gwalior
32.2133, 2013, LST_JUL, Gwalior
39.8543, 2014, LST_JUL, Gwalior
36.6572, 2015, LST_JUL, Gwalior
33.1239, 2016, LST_JUL, Gwalior
37.3537, 2017, LST_JUL, Gwalior
40.849, 2018, LST_JUL, Gwalior
38.6374, 2019, LST_JUL, Gwalior
36.8436, 2010, LST_JUL, Harda
30.8459, 2011, LST_JUL, Harda
35.0431, 2012, LST_JUL, Harda
27.5363, 2013, LST_JUL, Harda
41.1344, 2014, LST_JUL, Harda
37.9265, 2015, LST_JUL, Harda
27.3793, 2016, LST_JUL, Harda
34.3137, 2017, LST_JUL, Harda
39.4362, 2018, LST_JUL, Harda
37.6188, 2019, LST_JUL, Harda
39.7177, 2010, LST_JUL, Hoshangabad
31.7574, 2011, LST_JUL, Hoshangabad
33.5829, 2012, LST_JUL, Hoshangabad
26.2628, 2013, LST_JUL, Hoshangabad
38.5224, 2014, LST_JUL, Hoshangabad
34.8027, 2015, LST_JUL, Hoshangabad
30.6718, 2016, LST_JUL, Hoshangabad
32.8447, 2017, LST_JUL, Hoshangabad
36.7588, 2018, LST_JUL, Hoshangabad
35.8528, 2019, LST_JUL, Hoshangabad
32.3467, 2010, LST_JUL, Indore
31.9025, 2011, LST_JUL, Indore
38.5865, 2012, LST_JUL, Indore
31.6933, 2013, LST_JUL, Indore
37.7583, 2014, LST_JUL, Indore
30.9951, 2015, LST_JUL, Indore
27.2067, 2016, LST_JUL, Indore
33.2426, 2017, LST_JUL, Indore
30.5742, 2018, LST_JUL, Indore
33.47, 2019, LST_JUL, Indore
37.3966, 2010, LST_JUL, Jabalpur
31.3488, 2011, LST_JUL, Jabalpur
38.3129, 2012, LST_JUL, Jabalpur
29.5526, 2013, LST_JUL, Jabalpur
38.0366, 2014, LST_JUL, Jabalpur
31.4363, 2015, LST_JUL, Jabalpur
32.3239, 2016, LST_JUL, Jabalpur
32.6995, 2017, LST_JUL, Jabalpur
32.632, 2018, LST_JUL, Jabalpur
34.119, 2019, LST_JUL, Jabalpur
31.5377, 2010, LST_JUL, Jhabua
34.0271, 2011, LST_JUL, Jhabua
38.0752, 2012, LST_JUL, Jhabua
24.0241, 2013, LST_JUL, Jhabua
37.5198, 2014, LST_JUL, Jhabua
32.813, 2015, LST_JUL, Jhabua
28.9129, 2016, LST_JUL, Jhabua
31.0402, 2017, LST_JUL, Jhabua
29.7119, 2018, LST_JUL, Jhabua
33.8245, 2019, LST_JUL, Jhabua
37.8134, 2010, LST_JUL, Katni
30.7106, 2011, LST_JUL, Katni
39.4657, 2012, LST_JUL, Katni
29.5795, 2013, LST_JUL, Katni
37.8127, 2014, LST_JUL, Katni
31.1767, 2015, LST_JUL, Katni
31.7055, 2016, LST_JUL, Katni
30.0374, 2017, LST_JUL, Katni
36.6591, 2018, LST_JUL, Katni
33.5322, 2019, LST_JUL, Katni
33.7762, 2010, LST_JUL, Mandla
30.0101, 2011, LST_JUL, Mandla
37.1094, 2012, LST_JUL, Mandla
27.2897, 2013, LST_JUL, Mandla
35.2052, 2014, LST_JUL, Mandla
30.2746, 2015, LST_JUL, Mandla
25.0698, 2016, LST_JUL, Mandla
29.7608, 2017, LST_JUL, Mandla
30.5268, 2018, LST_JUL, Mandla
32.011, 2019, LST_JUL, Mandla
36.5067, 2010, LST_JUL, Mandsaur
35.6478, 2011, LST_JUL, Mandsaur
41.9959, 2012, LST_JUL, Mandsaur
34.0988, 2013, LST_JUL, Mandsaur
38.7871, 2014, LST_JUL, Mandsaur
33.0714, 2015, LST_JUL, Mandsaur
34.1279, 2016, LST_JUL, Mandsaur
37.663, 2017, LST_JUL, Mandsaur
33.1939, 2018, LST_JUL, Mandsaur
36.0768, 2019, LST_JUL, Mandsaur
39.0232, 2010, LST_JUL, Morena
35.1664, 2011, LST_JUL, Morena
39.5969, 2012, LST_JUL, Morena
31.7264, 2013, LST_JUL, Morena
39.3339, 2014, LST_JUL, Morena
34.6506, 2015, LST_JUL, Morena
32.2058, 2016, LST_JUL, Morena
38.6063, 2017, LST_JUL, Morena
41.2893, 2018, LST_JUL, Morena
37.3636, 2019, LST_JUL, Morena
38.3196, 2010, LST_JUL, Narsinghpur
33.6165, 2011, LST_JUL, Narsinghpur
36.3189, 2012, LST_JUL, Narsinghpur
28.1614, 2013, LST_JUL, Narsinghpur
36.9958, 2014, LST_JUL, Narsinghpur
32.5469, 2015, LST_JUL, Narsinghpur
32.8455, 2016, LST_JUL, Narsinghpur
30.4139, 2017, LST_JUL, Narsinghpur
34.8454, 2018, LST_JUL, Narsinghpur
35.8267, 2019, LST_JUL, Narsinghpur
37.5426, 2010, LST_JUL, Neemuch
33.7878, 2011, LST_JUL, Neemuch
40.8346, 2012, LST_JUL, Neemuch
35.1342, 2013, LST_JUL, Neemuch
38.7046, 2014, LST_JUL, Neemuch
33.3027, 2015, LST_JUL, Neemuch
31.3006, 2016, LST_JUL, Neemuch
37.1158, 2017, LST_JUL, Neemuch
33.3818, 2018, LST_JUL, Neemuch
35.6884, 2019, LST_JUL, Neemuch
38.7718, 2010, LST_JUL, Panna
32.4501, 2011, LST_JUL, Panna
40.8477, 2012, LST_JUL, Panna
29.8165, 2013, LST_JUL, Panna
38.7427, 2014, LST_JUL, Panna
31.7471, 2015, LST_JUL, Panna
28.9841, 2016, LST_JUL, Panna
28.525, 2017, LST_JUL, Panna
38.9144, 2018, LST_JUL, Panna
34.7566, 2019, LST_JUL, Panna
36.2176, 2010, LST_JUL, Raisen
33.195, 2011, LST_JUL, Raisen
38.1644, 2012, LST_JUL, Raisen
30.5655, 2013, LST_JUL, Raisen
38.669, 2014, LST_JUL, Raisen
32.9734, 2015, LST_JUL, Raisen
33.0123, 2016, LST_JUL, Raisen
33.407, 2017, LST_JUL, Raisen
33.9124, 2018, LST_JUL, Raisen
36.2892, 2019, LST_JUL, Raisen
38.1902, 2010, LST_JUL, Rajgarh
34.3296, 2011, LST_JUL, Rajgarh
41.3938, 2012, LST_JUL, Rajgarh
35.9795, 2013, LST_JUL, Rajgarh
41.5345, 2014, LST_JUL, Rajgarh
33.6934, 2015, LST_JUL, Rajgarh
32.4253, 2016, LST_JUL, Rajgarh
38.1618, 2017, LST_JUL, Rajgarh
36.0559, 2018, LST_JUL, Rajgarh
36.491, 2019, LST_JUL, Rajgarh
36.5508, 2010, LST_JUL, Ratlam
36.8732, 2011, LST_JUL, Ratlam
35.7502, 2012, LST_JUL, Ratlam
32.2059, 2013, LST_JUL, Ratlam
36.3529, 2014, LST_JUL, Ratlam
33.8578, 2015, LST_JUL, Ratlam
32.84, 2016, LST_JUL, Ratlam
35.8975, 2017, LST_JUL, Ratlam
31.3296, 2018, LST_JUL, Ratlam
35.1533, 2019, LST_JUL, Ratlam
39.6797, 2010, LST_JUL, Rewa
34.5245, 2011, LST_JUL, Rewa
38.2014, 2012, LST_JUL, Rewa
29.7232, 2013, LST_JUL, Rewa
35.2359, 2014, LST_JUL, Rewa
33.5702, 2015, LST_JUL, Rewa
34.111, 2016, LST_JUL, Rewa
30.6888, 2017, LST_JUL, Rewa
39.3504, 2018, LST_JUL, Rewa
35.6871, 2019, LST_JUL, Rewa
36.949, 2010, LST_JUL, Sagar
33.6084, 2011, LST_JUL, Sagar
41.3373, 2012, LST_JUL, Sagar
30.8443, 2013, LST_JUL, Sagar
38.9822, 2014, LST_JUL, Sagar
32.9629, 2015, LST_JUL, Sagar
33.8687, 2016, LST_JUL, Sagar
33.9228, 2017, LST_JUL, Sagar
35.7611, 2018, LST_JUL, Sagar
37.5803, 2019, LST_JUL, Sagar
38.9497, 2010, LST_JUL, Satna
32.3731, 2011, LST_JUL, Satna
39.791, 2012, LST_JUL, Satna
28.8277, 2013, LST_JUL, Satna
37.4587, 2014, LST_JUL, Satna
33.0046, 2015, LST_JUL, Satna
27.538, 2016, LST_JUL, Satna
30.4697, 2017, LST_JUL, Satna
37.5796, 2018, LST_JUL, Satna
34.8349, 2019, LST_JUL, Satna
35.6809, 2010, LST_JUL, Sehore
33.087, 2011, LST_JUL, Sehore
36.1423, 2012, LST_JUL, Sehore
27.255, 2013, LST_JUL, Sehore
39.531, 2014, LST_JUL, Sehore
34.7957, 2015, LST_JUL, Sehore
29.0071, 2016, LST_JUL, Sehore
35.489, 2017, LST_JUL, Sehore
34.9415, 2018, LST_JUL, Sehore
36.3026, 2019, LST_JUL, Sehore
35.4843, 2010, LST_JUL, Seoni
31.0178, 2011, LST_JUL, Seoni
38.5808, 2012, LST_JUL, Seoni
26.8875, 2013, LST_JUL, Seoni
36.9798, 2014, LST_JUL, Seoni
32.3152, 2015, LST_JUL, Seoni
28.575, 2016, LST_JUL, Seoni
32.5488, 2017, LST_JUL, Seoni
33.3443, 2018, LST_JUL, Seoni
34.1209, 2019, LST_JUL, Seoni
34.1977, 2010, LST_JUL, Shahdol
30.7402, 2011, LST_JUL, Shahdol
38.1062, 2012, LST_JUL, Shahdol
29.3546, 2013, LST_JUL, Shahdol
35.1825, 2014, LST_JUL, Shahdol
32.3321, 2015, LST_JUL, Shahdol
30.6924, 2016, LST_JUL, Shahdol
29.9243, 2017, LST_JUL, Shahdol
33.1231, 2018, LST_JUL, Shahdol
33.2949, 2019, LST_JUL, Shahdol
36.1883, 2010, LST_JUL, Shajapur
34.299, 2011, LST_JUL, Shajapur
38.8259, 2012, LST_JUL, Shajapur
35.6164, 2013, LST_JUL, Shajapur
41.2079, 2014, LST_JUL, Shajapur
33.037, 2015, LST_JUL, Shajapur
36.0719, 2016, LST_JUL, Shajapur
36.9975, 2017, LST_JUL, Shajapur
33.4942, 2018, LST_JUL, Shajapur
36.8034, 2019, LST_JUL, Shajapur
38.164, 2010, LST_JUL, Sheopur
32.8982, 2011, LST_JUL, Sheopur
42.4713, 2012, LST_JUL, Sheopur
32.1212, 2013, LST_JUL, Sheopur
40.1819, 2014, LST_JUL, Sheopur
34.8638, 2015, LST_JUL, Sheopur
31.5026, 2016, LST_JUL, Sheopur
36.863, 2017, LST_JUL, Sheopur
38.9528, 2018, LST_JUL, Sheopur
36.8263, 2019, LST_JUL, Sheopur
37.8843, 2010, LST_JUL, Shivpuri
33.9586, 2011, LST_JUL, Shivpuri
38.6343, 2012, LST_JUL, Shivpuri
30.8166, 2013, LST_JUL, Shivpuri
40.2424, 2014, LST_JUL, Shivpuri
36.0243, 2015, LST_JUL, Shivpuri
31.907, 2016, LST_JUL, Shivpuri
37.6536, 2017, LST_JUL, Shivpuri
39.0384, 2018, LST_JUL, Shivpuri
37.5794, 2019, LST_JUL, Shivpuri
38.9676, 2010, LST_JUL, Sidhi
31.1006, 2011, LST_JUL, Sidhi
39.4636, 2012, LST_JUL, Sidhi
31.1527, 2013, LST_JUL, Sidhi
33.4306, 2014, LST_JUL, Sidhi
33.3105, 2015, LST_JUL, Sidhi
31.7015, 2016, LST_JUL, Sidhi
32.0279, 2017, LST_JUL, Sidhi
35.1497, 2018, LST_JUL, Sidhi
34.515, 2019, LST_JUL, Sidhi
39.1473, 2010, LST_JUL, Tikamgarh
33.62, 2011, LST_JUL, Tikamgarh
42.1586, 2012, LST_JUL, Tikamgarh
31.3065, 2013, LST_JUL, Tikamgarh
40.1743, 2014, LST_JUL, Tikamgarh
34.6957, 2015, LST_JUL, Tikamgarh
33.0356, 2016, LST_JUL, Tikamgarh
34.5455, 2017, LST_JUL, Tikamgarh
41.0734, 2018, LST_JUL, Tikamgarh
37.3959, 2019, LST_JUL, Tikamgarh
36.7232, 2010, LST_JUL, Ujjain
34.5475, 2011, LST_JUL, Ujjain
35.0942, 2012, LST_JUL, Ujjain
34.1796, 2013, LST_JUL, Ujjain
38.3938, 2014, LST_JUL, Ujjain
32.8007, 2015, LST_JUL, Ujjain
26.5676, 2016, LST_JUL, Ujjain
35.5793, 2017, LST_JUL, Ujjain
31.7063, 2018, LST_JUL, Ujjain
35.0479, 2019, LST_JUL, Ujjain
34.6697, 2010, LST_JUL, Umaria
29.502, 2011, LST_JUL, Umaria
40.7245, 2012, LST_JUL, Umaria
29.9691, 2013, LST_JUL, Umaria
35.6037, 2014, LST_JUL, Umaria
31.406, 2015, LST_JUL, Umaria
30.4839, 2016, LST_JUL, Umaria
27.5908, 2017, LST_JUL, Umaria
34.9758, 2018, LST_JUL, Umaria
32.3171, 2019, LST_JUL, Umaria
35.7823, 2010, LST_JUL, Vidisha
32.9754, 2011, LST_JUL, Vidisha
42.1143, 2012, LST_JUL, Vidisha
28.5621, 2013, LST_JUL, Vidisha
40.3958, 2014, LST_JUL, Vidisha
34.6045, 2015, LST_JUL, Vidisha
33.9322, 2016, LST_JUL, Vidisha
35.0446, 2017, LST_JUL, Vidisha
35.3386, 2018, LST_JUL, Vidisha
36.7942, 2019, LST_JUL, Vidisha
