DISTRICTS,YEAR,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV
Seoni,2012,315.8097,311.7308,300.9716,303.4328,305.3821,303.2286
Seoni,2013,317.9007,300.0375,300.4914,303.3717,302.6141,302.2295
Seoni,2014,316.6606,310.1298,303.1561,304.6951,305.0227,304.3774
Seoni,2015,314.6823,305.4652,303.8689,304.5755,306.5793,304.4086
Seoni,2016,316.3239,301.725,302.2899,301.2951,303.762,303.6692
Seoni,2017,314.7069,305.6988,301.5888,302.0276,304.9617,303.6106
Seoni,2018,313.8174,306.4943,299.8796,302.2467,305.0342,305.0384
Seoni,2019,320.0707,307.2709,299.8687,299.5434,302.0155,302.6773
Shahdol,2010,315.8293,307.3477,303.45,302.571,303.1955,302.1566
Shahdol,2011,315.8336,303.8902,301.9914,301.8567,303.5988,302.2128
Shahdol,2012,315.3836,311.2562,301.4151,302.903,303.7994,300.6092
Shahdol,2013,315.4061,302.5046,301.2943,302.9018,300.8584,299.9917
Shahdol,2014,313.8154,308.3325,305.7766,303.7117,303.2943,301.3119
Shahdol,2015,314.4015,305.4821,305.372,304.1639,306.2856,302.4259
Shahdol,2016,313.9098,303.8424,303.0497,301.9443,302.2333,300.9349
Shahdol,2017,314.1179,303.0743,303.2767,303.6367,304.1978,302.0276
Shahdol,2018,311.7716,306.2731,302.5472,303.935,304.772,302.5591
Shahdol,2019,315.9334,306.4449,302.2381,301.2581,301.8022,301.149
Shajapur,2010,318.6752,309.3383,302.5921,307.416,311.121,307.3219
Shajapur,2011,317.6015,307.449,301.3757,306.2744,311.6197,308.1931
Shajapur,2012,316.3335,311.9759,300.8102,305.5437,311.1582,306.2161
Shajapur,2013,315.6871,308.7664,301.2177,307.7121,309.6123,304.5487
Shajapur,2014,317.5915,314.3579,306.1958,304.8135,310.6424,308.6802
Shajapur,2015,317.7131,306.187,300.6543,308.5306,313.0106,308.2025
Shajapur,2016,317.9154,309.2219,300.4792,306.5801,310.5454,307.4754
Shajapur,2017,315.5339,310.1475,301.3162,306.7672,311.8279,305.7564
Shajapur,2018,313.301,306.6442,299.3736,307.2658,312.0076,306.5812
Shajapur,2019,319.6627,309.9534,300.1485,301.2492,305.4909,305.3049
Sheopur,2010,318.4508,311.314,304.3869,304.3737,307.982,303.1031
Sheopur,2011,317.2827,306.0482,302.2022,304.3434,307.8021,305.2174
Sheopur,2012,315.9805,315.6213,301.6153,304.5097,307.2767,303.13
Sheopur,2013,314.5836,305.2712,302.1304,305.4282,305.5692,302.7072
Sheopur,2014,3.17E+02,313.3319,307.4455,306.1667,308.4728,304.8315
Sheopur,2015,317.7298,308.0138,302.973,308.2349,310.812,305.6513
Sheopur,2016,316.2242,304.6526,301.3107,305.2564,307.1086,304.731
Sheopur,2017,315.8813,310.013,303.4459,307.3368,311.2342,304.8557
Sheopur,2018,312.8493,312.1028,299.4179,302.8868,306.4504,303.5171
Sheopur,2019,317.8004,309.9763,301.9007,302.8997,303.8582,302.5966
Shivpuri,2010,318.6599,311.0343,302.6043,304.2549,307.7415,304.4077
Shivpuri,2011,316.6763,307.1086,302.6144,304.4591,308.1182,305.7081
Shivpuri,2012,315.5903,311.7843,301.8369,303.8712,307.1803,303.9706
Shivpuri,2013,312.9763,303.9666,301.6423,304.4749,305.9383,303.1893
Shivpuri,2014,316.7319,313.3924,307.3572,305.8505,308.6737,306.1356
Shivpuri,2015,317.4568,309.1743,302.9398,307.8685,311.1373,305.99
Shivpuri,2016,315.7396,305.057,300.0317,305.4527,308.2477,305.7111
Shivpuri,2017,3.15E+02,310.8036,306.3053,306.1708,310.1213,304.8862
Shivpuri,2018,313.4673,312.1884,301.5423,303.5804,308.0943,304.5815
Shivpuri,2019,317.4087,310.7294,301.1185,302.6745,304.2785,303.1911
Sidhi,2010,316.9489,312.1176,303.7706,303.1042,304.4485,303.1521
Sidhi,2011,316.7575,304.2506,302.7264,302.0715,303.6225,301.6565
Sidhi,2012,315.7846,312.6136,301.9698,302.8306,303.9558,300.2128
Sidhi,2013,314.4793,304.3027,301.2973,303.0082,301.1168,299.9184
Sidhi,2014,313.0544,306.5806,305.6273,304.0697,303.5185,301.1185
Sidhi,2015,315.8056,306.4605,305.2383,304.747,306.3615,302.0065
Sidhi,2016,315.4761,304.8515,302.35,302.4114,302.6446,300.5237
Sidhi,2017,314.6201,305.1779,303.7574,303.8469,304.3824,301.6862
Sidhi,2018,312.193,308.2997,303.2467,303.7393,304.7494,301.9657
Sidhi,2019,316.4164,307.665,303.0883,301.6729,301.849,301.093
Tikamgarh,2010,317.6472,312.2973,301.7287,304.7546,308.065,305.7911
Tikamgarh,2011,317.0405,306.77,303.3025,305.2187,309.1115,305.6739
Tikamgarh,2012,316.7956,315.3086,301.4448,304.4819,308.695,304.1384
Tikamgarh,2013,313.9096,304.4565,301.4543,304.3044,306.4498,303.1485
Tikamgarh,2014,316.4546,313.3243,306.2963,306.6976,309.8025,306.5117
Tikamgarh,2015,317.5189,307.8457,302.1237,308.1493,312.6323,307.4197
Tikamgarh,2016,316.5714,306.1856,302.5844,306.0158,309.6993,305.5139
Tikamgarh,2017,316.057,307.6955,304.7708,306.1258,310.1441,305.4278
Tikamgarh,2018,314.5294,314.2234,301.5566,304.5464,309.9867,305.18
Tikamgarh,2019,318.13,310.5459,302.1456,300.9986,305.0228,304.3641
Ujjain,2010,317.6947,309.8732,301.5301,307.4829,311.726,307.811
Ujjain,2011,315.4003,307.6975,299.9667,306.7233,312.1055,308.0339
Ujjain,2012,315.4356,308.2442,300.902,305.2661,311.5063,305.8592
Ujjain,2013,313.8304,307.3296,299.0221,307.5641,308.8801,304.3836
Ujjain,2014,315.9794,311.5438,304.0506,303.1463,311.4996,308.8236
Ujjain,2015,317.1185,305.9507,300.4779,308.8035,313.1593,307.6158
Ujjain,2016,317.6817,299.7176,298.2593,305.8775,309.8811,306.5502
Ujjain,2017,313.368,308.7293,299.9811,307.1212,312.0956,305.0289
Ujjain,2018,311.8961,304.8563,295.4349,308.741,312.8948,305.865
Ujjain,2019,318.3706,308.1979,299.1196,300.8408,305.9274,305.138
Umaria,2010,315.8399,307.8197,303.5582,302.8717,303.0767,301.9159
Umaria,2011,315.0673,302.652,301.7498,302.2793,303.7127,301.8646
Umaria,2012,314.9473,313.8745,301.8741,303.1419,303.8617,300.6312
Umaria,2013,315.6913,303.1191,301.517,302.7468,301.3351,300.2015
Umaria,2014,314.5885,308.7537,305.7881,304.2902,303.4757,301.5102
Umaria,2015,314.4884,304.556,305.3517,303.8371,306.0162,301.9604
Umaria,2016,312.8247,303.6339,303.8379,302.415,302.3311,300.8243
Umaria,2017,313.3379,300.7408,302.9017,303.7618,304.6305,301.7777
Umaria,2018,313.567,308.1258,301.7655,303.4066,304.5592,302.1409
Umaria,2019,316.1753,305.4671,301.6267,301.2321,301.707,301.1878
Vidisha,2010,318.5479,308.9323,301.6433,305.9894,310.044,306.2594
Vidisha,2011,317.2393,306.1254,302.1821,305.0469,310.9698,307.6102
Vidisha,2012,316.7219,315.2643,300.7795,304.9913,311.168,306.5599
Vidisha,2013,317.6755,301.7121,301.5619,306.5002,308.9533,305.4803
Vidisha,2014,317.6807,313.5458,306.8242,305.1402,310.9823,308.3919
Vidisha,2015,318.9769,307.7545,301.5322,306.4188,313.4845,308.0206
Vidisha,2016,317.5336,307.0822,301.8968,305.5013,309.7264,307.2529
Vidisha,2017,314.9415,308.1946,302.2538,306.265,310.9562,306.066
Vidisha,2018,313.6933,308.4886,299.3454,304.9541,311.4669,307.2158
Vidisha,2019,320.4517,309.9442,300.1444,301.9313,305.0126,305.4657
