DISTRICTS,YEAR,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV
Burhanpur,2011,316.9047,307.4243,300.9535,303.7826,307.4562,307.6633
Burhanpur,2012,316.2222,308.7297,302.1597,304.1597,306.8662,305.9594
Burhanpur,2013,3.16E+02,301.6763,300.356,304.4804,304.6682,304.7816
Burhanpur,2014,317.0183,313.3136,308.8135,305.1297,307.3913,307.0875
Burhanpur,2015,317.7048,311.5609,304.5007,305.7503,308.8307,308.0293
Burhanpur,2016,315.9563,300.872,302.101,302.0041,304.402,305.1013
Burhanpur,2017,312.7364,305.5769,302.0853,303.4489,305.6302,305.2274
Burhanpur,2018,313.5788,312.1402,280.155,304.0712,307.4421,307.3316
Burhanpur,2019,319.3934,309.5825,301.2917,302.5658,303.6947,302.2332
Chhatarpur,2010,319.0835,313.7449,302.2524,304.4466,306.4756,305.0094
Chhatarpur,2011,317.1921,306.6209,302.9139,303.767,307.7356,304.9051
Chhatarpur,2012,317.6143,314.0505,300.8583,304.1048,308.0907,303.8754
Chhatarpur,2013,314.9791,303.2258,300.58,304.4233,305.3804,302.9861
Chhatarpur,2014,317.6222,312.7471,306.716,306.5908,308.1967,306.113
Chhatarpur,2015,316.9148,306.7973,303.8703,307.4045,311.5586,306.6579
Chhatarpur,2016,319.4113,304.8069,302.8767,305.0821,307.6818,304.3715
Chhatarpur,2017,316.361,306.4084,303.7091,305.5611,309.3091,304.8237
Chhatarpur,2018,316.8494,312.0745,302.1959,304.0701,309.111,305.0417
Chhatarpur,2019,318.8761,310.1496,302.2549,302.1541,304.4438,304.0495
Chhindwara,2010,315.8294,306.5621,302.3648,303.2788,304.1947,302.5499
Chhindwara,2011,316.4237,304.9373,300.2837,303.0408,305.8035,305.1704
Chhindwara,2012,315.7455,306.7997,301.0004,303.1777,304.897,303.3912
Chhindwara,2013,316.7249,301.0169,299.7569,303.4909,302.4136,302.5553
Chhindwara,2014,317.0485,312.142,304.7973,304.7087,305.1101,304.0088
Chhindwara,2015,314.8627,305.9851,303.7504,304.4747,306.4683,304.2727
Chhindwara,2016,315.7381,303.373,301.7916,301.87,303.3827,303.6598
Chhindwara,2017,315.1705,306.1779,301.943,302.1416,304.1376,303.0925
Chhindwara,2018,313.0016,305.7588,302.0158,302.5312,305.0133,304.912
Chhindwara,2019,319.7784,309.6007,299.4733,299.2887,302.0658,302.1062
Damoh,2010,318.4193,311.3612,302.5512,304.0185,306.103,305.2846
Damoh,2011,318.3055,305.7374,302.9384,304.0656,307.9561,305.8816
Damoh,2012,316.8572,312.1233,301.7951,304.1391,308.2633,304.6544
Damoh,2013,317.3321,302.6579,300.4256,304.459,304.8708,303.4725
Damoh,2014,318.154,311.477,306.7659,306.7823,308.0178,306.0841
Damoh,2015,316.8763,305.8941,302.8757,306.5787,310.3288,306.1289
Damoh,2016,317.5181,307.8661,302.9724,304.6765,306.7982,304.7827
Damoh,2017,316.9305,309.0662,303.3849,305.0842,308.6317,304.5744
Damoh,2018,316.0631,310.1199,303.5466,304.6144,309.0237,306.0507
Damoh,2019,319.6788,309.9211,301.4398,302.3395,304.0357,304.6106
Datia,2010,318.4734,312.4465,306.4485,305.5283,308.1372,304.2232
Datia,2011,315.6716,307.8317,306.1081,307.6199,310.6243,305.4094
Datia,2012,316.5647,309.0021,303.0893,306.8443,309.309,303.1371
Datia,2013,314.2541,306.811,304.0241,304.4122,306.322,302.9524
Datia,2014,318.4817,315.1344,307.1017,306.2694,308.983,305.0372
Datia,2015,316.737,311.5105,305.6531,307.5077,310.7469,305.1055
Datia,2016,315.0775,307.1233,302.7678,306.6755,309.9489,304.8347
Datia,2017,316.2971,311.9175,306.7683,306.6765,310.952,304.0375
Datia,2018,314.1861,313.4273,304.806,304.2011,308.4728,303.3286
Datia,2019,318.0307,312.3874,303.3628,301.9622,304.1868,303.5856
Dewas,2010,316.7459,305.8363,300.4457,305.8275,308.8087,305.9092
Dewas,2011,316.488,305.5057,301.0515,305.4208,308.9196,306.8783
Dewas,2012,316.3075,311.0486,301.5945,304.5931,308.3851,305.1182
Dewas,2013,313.8696,300.1827,300.0235,306.5348,307.3809,303.9159
Dewas,2014,316.3743,313.6649,304.8808,304.0413,308.789,307.4779
Dewas,2015,317.2222,306.9697,300.938,306.8837,310.4346,306.9783
Dewas,2016,317.6267,300.432,299.0014,304.8484,307.6982,305.6895
Dewas,2017,315.1602,308.3861,301.1331,305.6658,309.531,305.2228
Dewas,2018,312.606,305.6111,298.1274,307.1959,310.6377,306.2094
Dewas,2019,319.3034,308.6948,300.1409,302.431,304.71,304.2329
Dhar,2010,316.4625,305.8466,299.9531,305.9363,310.0923,306.7858
Dhar,2011,315.0875,308.4321,299.5118,304.8489,310.2054,308.9828
Dhar,2012,314.3094,309.8143,302.5498,303.6188,309.4446,306.9949
Dhar,2013,311.4909,305.5531,300.0113,305.0872,307.1975,305.5847
Dhar,2014,315.3859,311.3625,305.3173,304.4317,309.329,308.1896
Dhar,2015,3.16E+02,306.4283,302.079,307.0993,311.0073,308.5803
Dhar,2016,317.0692,302.7702,299.9131,302.8711,307.228,306.8773
Dhar,2017,312.2834,306.1044,300.4343,305.4403,309.9428,306.5485
Dhar,2018,312.0183,307.1087,295.2495,305.572,310.4141,307.6025
Dhar,2019,318.2655,307.9754,299.8221,301.5048,305.3378,304.8047
Dindori,2010,314.8111,305.0079,301.2241,301.4715,302.2063,301.3334
Dindori,2011,314.5236,302.5044,302.1562,301.4035,303.4051,302.4839
Dindori,2012,313.5328,310.1331,300.4247,302.0822,303.0875,300.5382
Dindori,2013,314.4235,302.3923,301.1189,301.8436,300.3963,299.9927
Dindori,2014,313.4985,307.5939,302.8961,302.0675,302.3129,301.0934
Dindori,2015,311.7011,302.8019,303.244,302.5796,304.1882,301.7699
Dindori,2016,312.985,304.1385,301.9176,301.1783,301.654,301.1033
Dindori,2017,314.2511,301.98,301.3439,302.0296,303.1322,301.6292
Dindori,2018,310.5053,303.4823,299.4947,302.7039,304.1662,302.6104
Dindori,2019,316.4535,304.6129,301.5439,301.4026,300.99,300.8684
Guna,2010,3.20E+02,310.212,301.2945,304.1684,309.0421,305.7677
Guna,2011,318.1111,304.8931,302.042,304.5854,309.5556,306.9322
Guna,2012,316.2442,314.3431,301.3892,304.1256,309.2858,305.9155
Guna,2013,314.9885,303.236,302.1688,306.1928,308.2311,304.8304
Guna,2014,317.369,313.8178,308.4703,306.1382,310.0283,307.4653
Guna,2015,318.09,308.0623,301.7064,307.146,311.9823,307.507
Guna,2016,317.4074,303.4417,300.8524,305.0736,308.9638,306.8561
Guna,2017,315.924,308.6693,302.5123,305.9982,310.9363,305.6349
Guna,2018,313.0851,310.5049,299.8762,304.775,310.3699,306.2537
Guna,2019,319.9457,310.1517,298.8202,301.8432,305.0092,304.3398
Gwalior,2010,317.2159,312.6004,304.9566,304.9596,307.3736,302.7956
Gwalior,2011,315.1958,308.6225,304.1344,306.2642,308.4322,305.0201
Gwalior,2012,315.5574,310.7685,302.076,305.39,307.335,302.9733
Gwalior,2013,313.5583,305.3633,302.5509,304.3203,304.4695,302.3031
Gwalior,2014,316.9778,313.0043,307.9958,306.3912,308.0261,304.9432
Gwalior,2015,316.3315,309.8072,303.8303,307.8047,309.8377,304.6171
Gwalior,2016,314.5679,306.2739,301.769,305.9617,307.7492,304.7832
Gwalior,2017,315.2752,310.5037,308.6267,306.9763,310.4054,304.0448
Gwalior,2018,3.14E+02,313.999,304.1801,303.8516,308.0242,303.518
Gwalior,2019,317.7408,311.7874,302.1444,303.2315,304.6388,302.7676
Harda,2010,318.0348,309.9936,301.4714,302.777,307.2005,305.8015
Harda,2011,315.9172,303.9959,300.7661,305.2507,308.9613,307.1862
