Temperature - (Celsius), Year, Element, Area
26.7073, 2013, AUG, Balaghat
27.947, 2013, SEP, Balaghat
27.3364, 2013, OCT, Balaghat
26.394, 2013, NOV, Balaghat
39.156, 2014, JUN, Balaghat
34.0622, 2014, JUL, Balaghat
28.8999, 2014, AUG, Balaghat
28.8336, 2014, SEP, Balaghat
28.4526, 2014, OCT, Balaghat
26.8025, 2014, NOV, Balaghat
38.4729, 2015, JUN, Balaghat
30.4518, 2015, JUL, Balaghat
29.1801, 2015, AUG, Balaghat
28.5681, 2015, SEP, Balaghat
29.3505, 2015, OCT, Balaghat
28.0772, 2015, NOV, Balaghat
37.694, 2016, JUN, Balaghat
25.3938, 2016, JUL, Balaghat
28.5388, 2016, AUG, Balaghat
27.775, 2016, SEP, Balaghat
27.7596, 2016, OCT, Balaghat
27.0954, 2016, NOV, Balaghat
38.1641, 2017, JUN, Balaghat
30.9326, 2017, JUL, Balaghat
27.723, 2017, AUG, Balaghat
28.1467, 2017, SEP, Balaghat
28.5789, 2017, OCT, Balaghat
27.4436, 2017, NOV, Balaghat
36.1362, 2018, JUN, Balaghat
32.023, 2018, JUL, Balaghat
27.3135, 2018, AUG, Balaghat
28.4258, 2018, SEP, Balaghat
29.1249, 2018, OCT, Balaghat
28.3848, 2018, NOV, Balaghat
41.9236, 2019, JUN, Balaghat
31.1822, 2019, JUL, Balaghat
26.8617, 2019, AUG, Balaghat
26.2125, 2019, SEP, Balaghat
27.4011, 2019, OCT, Balaghat
26.5107, 2019, NOV, Balaghat
43.6872, 2010, JUN, Barwani
30.5277, 2010, JUL, Barwani
26.4226, 2010, AUG, Barwani
31.9102, 2010, SEP, Barwani
35.6547, 2010, OCT, Barwani
33.6503, 2010, NOV, Barwani
42.7245, 2011, JUN, Barwani
34.1067, 2011, JUL, Barwani
28.8637, 2011, AUG, Barwani
31.6709, 2011, SEP, Barwani
36.7828, 2011, OCT, Barwani
36.9419, 2011, NOV, Barwani
41.5193, 2012, JUN, Barwani
35.7666, 2012, JUL, Barwani
31.2031, 2012, AUG, Barwani
31.8332, 2012, SEP, Barwani
36.1705, 2012, OCT, Barwani
35.2822, 2012, NOV, Barwani
40.8904, 2013, JUN, Barwani
35.7586, 2013, JUL, Barwani
28.3524, 2013, AUG, Barwani
32.9166, 2013, SEP, Barwani
34.2025, 2013, OCT, Barwani
33.8399, 2013, NOV, Barwani
42.4849, 2014, JUN, Barwani
39.8186, 2014, JUL, Barwani
33.7926, 2014, AUG, Barwani
32.733, 2014, SEP, Barwani
36.0336, 2014, OCT, Barwani
35.1978, 2014, NOV, Barwani
43.1595, 2015, JUN, Barwani
35.0791, 2015, JUL, Barwani
31.7484, 2015, AUG, Barwani
34.067, 2015, SEP, Barwani
37.0668, 2015, OCT, Barwani
36.7795, 2015, NOV, Barwani
42.9532, 2016, JUN, Barwani
28.3261, 2016, JUL, Barwani
28.4699, 2016, AUG, Barwani
29.6332, 2016, SEP, Barwani
33.9212, 2016, OCT, Barwani
34.7125, 2016, NOV, Barwani
39.8118, 2017, JUN, Barwani
31.1611, 2017, JUL, Barwani
28.1785, 2017, AUG, Barwani
31.7603, 2017, SEP, Barwani
34.7197, 2017, OCT, Barwani
34.3802, 2017, NOV, Barwani
38.8619, 2018, JUN, Barwani
34.2654, 2018, JUL, Barwani
24.6083, 2018, AUG, Barwani
31.7273, 2018, SEP, Barwani
37.0431, 2018, OCT, Barwani
36.4095, 2018, NOV, Barwani
44.4618, 2019, JUN, Barwani
37.0565, 2019, JUL, Barwani
28.3055, 2019, AUG, Barwani
28.8974, 2019, SEP, Barwani
32.1854, 2019, OCT, Barwani
31.6426, 2019, NOV, Barwani
42.5165, 2010, JUN, Betul
30.5856, 2010, JUL, Betul
28.3653, 2010, AUG, Betul
29.9602, 2010, SEP, Betul
31.4474, 2010, OCT, Betul
29.5061, 2010, NOV, Betul
41.2821, 2011, JUN, Betul
30.954, 2011, JUL, Betul
27.9447, 2011, AUG, Betul
29.6292, 2011, SEP, Betul
33.046, 2011, OCT, Betul
32.5717, 2011, NOV, Betul
41.2911, 2012, JUN, Betul
29.234, 2012, JUL, Betul
28.0923, 2012, AUG, Betul
29.368, 2012, SEP, Betul
31.9784, 2012, OCT, Betul
30.6549, 2012, NOV, Betul
42.9163, 2013, JUN, Betul
28.1204, 2013, JUL, Betul
25.4705, 2013, AUG, Betul
29.8229, 2013, SEP, Betul
30.2938, 2013, OCT, Betul
29.9014, 2013, NOV, Betul
43.6329, 2014, JUN, Betul
37.1472, 2014, JUL, Betul
32.273, 2014, AUG, Betul
30.9855, 2014, SEP, Betul
32.4952, 2014, OCT, Betul
31.7637, 2014, NOV, Betul
41.5284, 2015, JUN, Betul
